Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Company
10/18/21,328.9500122,335.8900146,327.5,335.3399963,21585000,0,0,FB,Facebook
10/19/21,339.6499939,342.4599915,337.2799988,339.9899902,18786300,0,0,FB,Facebook
10/20/21,343.4500122,343.980011,339.4500122,340.7799988,13639500,0,0,FB,Facebook
10/21/21,340.2799988,342.3099976,337.7999878,341.8800049,16354400,0,0,FB,Facebook
10/22/21,326.3500061,329.6300049,321.1099854,324.6099854,35152700,0,0,FB,Facebook
10/23/21,326.3500061,329.6300049,321.1099854,324.6099854,35152700,0,0,FB,Facebook
10/24/21,326.3500061,329.6300049,321.1099854,324.6099854,35152700,0,0,FB,Facebook
10/18/21,143.449997,146.839996,143.160004,146.550003,85589200,0,0,AAPL,Apple
10/19/21,147.009995,149.169998,146.550003,148.759995,76378900,0,0,AAPL,Apple
10/20/21,148.699997,149.75,148.119995,149.259995,58418800,0,0,AAPL,Apple
10/21/21,148.809998,149.639999,147.869995,149.479996,61421000,0,0,AAPL,Apple
10/22/21,149.690002,150.179993,148.639999,148.690002,58839600,0,0,AAPL,Apple
10/23/21,149.690002,150.179993,148.639999,148.690002,58839600,0,0,AAPL,Apple
10/24/21,149.690002,150.179993,148.639999,148.690002,58839600,0,0,AAPL,Apple
10/18/21,4463.72021,4488.75,4447.47021,4486.45996,2683540000,0,0,^GSPC,S&P 500
10/19/21,4497.33984,4520.3999,4496.41016,4519.62988,2531210000,0,0,^GSPC,S&P 500
10/20/21,4524.41992,4540.87012,4524.3999,4536.18994,2671560000,0,0,^GSPC,S&P 500
10/21/21,4532.24023,4551.43994,4526.89014,4549.77979,3016950000,0,0,^GSPC,S&P 500
10/22/21,4546.12012,4559.66992,4524,4544.8999,3062810000,0,0,^GSPC,S&P 500
10/23/21,4546.12012,4559.66992,4524,4544.8999,3062810000,0,0,^GSPC,S&P 500
10/24/21,4546.12012,4559.66992,4524,4544.8999,3062810000,0,0,^GSPC,S&P 500
