Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Company
10/18/21,2824.27002,2859.975098,2824.27002,2859.209961,828200,0,0,GOOG,Google
10/19/21,2865.830078,2882.139893,2861.919922,2876.439941,765800,0,0,GOOG,Google
10/20/21,2884.449951,2884.955078,2838.23999,2848.300049,897000,0,0,GOOG,Google
10/21/21,2843.840088,2856.98999,2832.73999,2855.610107,742500,0,0,GOOG,Google
10/22/21,2807.02002,2831.169922,2743.409912,2772.5,1509100,0,0,GOOG,Google
10/23/21,2807.02002,2831.169922,2743.409912,2772.5,1509100,0,0,GOOG,Google
10/24/21,2807.02002,2831.169922,2743.409912,2772.5,1509100,0,0,GOOG,Google
10/25/21,2776.209961,2784.115967,2734.969971,2775.459961,1054100,0,0,GOOG,Google
10/26/21,2812.120117,2816.790039,2780.110107,2793.439941,1412900,0,0,GOOG,Google
10/27/21,2798.050049,2982.360107,2798.050049,2928.550049,2592500,0,0,GOOG,Google
10/28/21,2945.97998,2948.48999,2895.27002,2922.580078,1620900,0,0,GOOG,Google
10/29/21,2910.399902,2972.26001,2903.330078,2965.409912,1447700,0,0,GOOG,Google
10/30/21,2910.399902,2972.26001,2903.330078,2965.409912,1447700,0,0,GOOG,Google
10/31/21,2910.399902,2972.26001,2903.330078,2965.409912,1447700,0,0,GOOG,Google
11/1/21,2963.300049,2967.98999,2871.590088,2875.47998,1611700,0,0,GOOG,Google
10/18/21,143.4499969,146.8399963,143.1600037,146.5500031,85589200,0,0,AAPL,Apple
10/19/21,147.0099945,149.1699982,146.5500031,148.7599945,76378900,0,0,AAPL,Apple
10/20/21,148.6999969,149.75,148.1199951,149.2599945,58418800,0,0,AAPL,Apple
10/21/21,148.8099976,149.6399994,147.8699951,149.4799957,61421000,0,0,AAPL,Apple
10/22/21,149.6900024,150.1799927,148.6399994,148.6900024,58883400,0,0,AAPL,Apple
10/23/21,149.6900024,150.1799927,148.6399994,148.6900024,58883400,0,0,AAPL,Apple
10/24/21,149.6900024,150.1799927,148.6399994,148.6900024,58883400,0,0,AAPL,Apple
10/25/21,148.6799927,149.3699951,147.6199951,148.6399994,50720600,0,0,AAPL,Apple
10/26/21,149.3300018,150.8399963,149.0099945,149.3200073,60893400,0,0,AAPL,Apple
10/27/21,149.3600006,149.7299957,148.4900055,148.8500061,56094900,0,0,AAPL,Apple
10/28/21,149.8200073,153.1699982,149.7200012,152.5700073,100077900,0,0,AAPL,Apple
10/29/21,147.2200012,149.9400024,146.4100037,149.8000031,124850400,0,0,AAPL,Apple
10/30/21,147.2200012,149.9400024,146.4100037,149.8000031,124850400,0,0,AAPL,Apple
10/31/21,147.2200012,149.9400024,146.4100037,149.8000031,124850400,0,0,AAPL,Apple
11/1/21,148.9900055,149.6999969,147.8000031,148.9600067,74445600,0,0,AAPL,Apple
10/18/21,19.04000092,19.92000008,19,19.71999931,25100300,0,0,SPCE,Virgin Galactic Holdings
10/19/21,19.5,20.07999992,19.20499992,19.84000015,15227800,0,0,SPCE,Virgin Galactic Holdings
10/20/21,19.76000023,20.54000092,19.65999985,20.14999962,11115100,0,0,SPCE,Virgin Galactic Holdings
10/21/21,20.20999908,20.76000023,19.86000061,20.14999962,9978400,0,0,SPCE,Virgin Galactic Holdings
10/22/21,20,20.01000023,19.22999954,19.65999985,8635500,0,0,SPCE,Virgin Galactic Holdings
10/23/21,20,20.01000023,19.22999954,19.65999985,8635500,0,0,SPCE,Virgin Galactic Holdings
10/24/21,20,20.01000023,19.22999954,19.65999985,8635500,0,0,SPCE,Virgin Galactic Holdings
10/25/21,19.73999977,20.53000069,19.62999916,20.04000092,11296100,0,0,SPCE,Virgin Galactic Holdings
10/26/21,20.04000092,20.26000023,19.48999977,19.61000061,10847000,0,0,SPCE,Virgin Galactic Holdings
10/27/21,18.79999924,18.90999985,17.97999954,18.23999977,21577500,0,0,SPCE,Virgin Galactic Holdings
10/28/21,18.36000061,18.72500038,18.29500008,18.55999947,10401300,0,0,SPCE,Virgin Galactic Holdings
10/29/21,18.64999962,19.07999992,18.58499908,18.75,8307900,0,0,SPCE,Virgin Galactic Holdings
10/30/21,18.64999962,19.07999992,18.58499908,18.75,8307900,0,0,SPCE,Virgin Galactic Holdings
10/31/21,18.64999962,19.07999992,18.58499908,18.75,8307900,0,0,SPCE,Virgin Galactic Holdings
11/1/21,18.86000061,19.68000031,18.69000053,19.54999924,9679600,0,0,SPCE,Virgin Galactic Holdings
10/18/21,632.0999756,638.4099731,620.5900269,637.9699707,4669100,0,0,NFLX,Netflix
10/19/21,636.9699707,641,632.2999878,639,7633100,0,0,NFLX,Netflix
10/20/21,625.5700073,637.4000244,617.1500244,625.1400146,10622000,0,0,NFLX,Netflix
10/21/21,628.8900146,654.0100098,628.6500244,653.1599731,8437100,0,0,NFLX,Netflix
10/22/21,651.8099976,665.460022,651.8099976,664.7800293,6186000,0,0,NFLX,Netflix
10/23/21,651.8099976,665.460022,651.8099976,664.7800293,6186000,0,0,NFLX,Netflix
10/24/21,651.8099976,665.460022,651.8099976,664.7800293,6186000,0,0,NFLX,Netflix
10/25/21,663.7399902,675.8800049,657.0700073,671.6599731,3833500,0,0,NFLX,Netflix
10/26/21,673.7600098,676.4899902,662.7700195,668.5200195,2904800,0,0,NFLX,Netflix
